Numbers,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,Element 1: Mapping Existing Research Permit Systems,,,,,,,,,,,,,,,,,,
1.1,Map Permit Granting Authorities,,,,,,,,,,,,,,,,,,
1.2,Task 2. Identify the persons responsible for administering permits in the country as a basis for consultations. ,,,,,,,,,,,,,,,,,,
1.3,Task 3. Consult with permit authorities on experience to date including what has worked for them and problem areas. ,,,,,,,,,,,,,,,,,,
1.4,Task 4. Generate process diagrams for permits within a country. ,,,,,,,,,,,,,,,,,,
1.5,Task 5. Workshop to discuss experience and the desirability (or otherwise) of a single electronic system serving multiple permit granting authorities. ,,,,,,,,,,,,,,,,,,
2,Element 2: Map existing permit data with the scientific and patent literature,,,,,,,,,,,,,,,,,,
2.1,Task 1. Obtain copies of permit data (preferably in electronic form) to ,,,,,,,,,,,,,,,,,,
2.2,Task 2. Obtain scientific literature for a specific country,,,,,,,,,,,,,,,,,,
2.3,Task 3. Develop search patterns for patent literature using patent databases and identify appropriate tools and match criteria to distinguish between positive and negative results. ,,,,,,,,,,,,,,,,,,
2.4,"Task 4. Identify, and, as appropriate, develop programmatic tools to facilitate automated literature and patent searches in future that minimise requirements for human intervention. Examples include the programmatic use of crossref or the EPO Open Patent Services or WIPO Patentscope databases and the rOpenSci and biosciences packages in languages such as R or Python. ",,,,,,,,,,,,,,,,,,
3,Element 3: Demonstration Model and Field Testing,,,,,,,,,,,,,,,,,,
3.1,Task 1. Develop one or more working models of the system including identifying solutions using different tools that may be best suited to the diversity of circumstances and capacities in a country. ,,,,,,,,,,,,,,,,,,
3.2,"Task 2. Consult with authorities involved in checking permit data on the ground (National Parks, Customs, police and others) and identify existing approaches and tools, what already works, problems encountered and potential solutions. ",,,,,,,,,,,,,,,,,,
3.3,Task 3. Identify how checks by local authorities can be most effectively linked to the online permit and monitoring system. ,,,,,,,,,,,,,,,,,,
3.4,"Task 4. Arrange field tests of solution such as barcodes, QR code readers, html etc. with relevant authorities and adapt solutions focusing on meeting actual needs. ",,,,,,,,,,,,,,,,,,
3.5,Task 5. In consultation with relevant international collections identify appropriate options for the inclusion of permit data in sample labels and for sequence data.,,,,,,,,,,,,,,,,,,
4,Element 4: Developing an online electronic permit and monitoring system,,,,,,,,,,,,,,,,,,
4.1,Task 1. Identify organisations or partners in the country with the technical and programming capacity to develop an electronic permit system consisting of ,,,,,,,,,,,,,,,,,,
4.2,Task 2. Develop a costed plan of implementation over a period of 3 years,,,,,,,,,,,,,,,,,,
4.3,"Task 3. Develop a pilot system at an early stage (Year 1) accommodating the principles of agile development 		(iterative and flexible software development) wherever possible.",,,,,,,,,,,,,,,,,,
4.4,Task 4. Implement and continue the development of the system with regular periodic review by users.,,,,,,,,,,,,,,,,,,
4.5,"Task 5. Report on experience gained and future development plans (Year 2, Year 3)",,,,,,,,,,,,,,,,,,
5,Element 5: Applicants Portal,,,,,,,,,,,,,,,,,,
5.1,Element 5.1.1. Information,,,,,,,,,,,,,,,,,,
5.2,Task 1. Develop a guide for applicants,,,,,,,,,,,,,,,,,,
5.3,Task 2. Develop a checklist of required information for applicants,,,,,,,,,,,,,,,,,,
5.4,Task 3. Test utility with selected applicants (survey/practical tests),,,,,,,,,,,,,,,,,,
5.5,Task 4. Provide information on appeals process (see authority side),,,,,,,,,,,,,,,,,,
5.6,Element 5.1.2. Applications,,,,,,,,,,,,,,,,,,
5.6.1,Task 1. Create applicant home page system,,,,,,,,,,,,,,,,,,
5.6.2,Task 2. Establish secure username and password system,,,,,,,,,,,,,,,,,,
5.6.3,"Task 3. Define data fields for applications in consultation with relevant permit granting authorities. Use checkboxes wherever possible (e.g. Marine, terrestrial, national park etc.)",,,,,,,,,,,,,,,,,,
5.6.4,Task 4. Test using services such as Google forms or Wufoo and refine to final version. ,,,,,,,,,,,,,,,,,,
5.7,Element 5.1.3 Notifications,,,,,,,,,,,,,,,,,,
5.7.1,"Task 1. Establish a system for transmitting requests from the authority side to the applicant side with appropriate data fields (title, date, originator etc.).",,,,,,,,,,,,,,,,,,
5.7.2,Task 2. Define a standard list of information request types (authority side) while allowing authorities to provide specific details (headings for the request and content or body of the request).,,,,,,,,,,,,,,,,,,
5.7.3,Task 3. Establish a system for applicants to respond to requests and channel (email) the response to the originator with a notification. ,,,,,,,,,,,,,,,,,,
5.7.4,"Task 4. Establish a system that: a) lists the stages in the application procedure; b) provides the name and contact details (email) for the person responsible for that stage of the procedur really rubbish at cleare; c) updates the record upon completion to show the next stage in the procedure and persons responsible; d) generates the permit and associated material (passes, labels, embed codes) and inform the applicant of availability by email. Accessed through the approvals section. ",,,,,,,,,,,,,,,,,,
5.8,Element 5.1.4 Approvals,,,,,,,,,,,,,,,,,,
5.8.1,Task 1. Create a system to generate a permit as a .pdf (links to authority generated master permit).,,,,,,,,,,,,,,,,,,
5.8.2,Task 2.  Create system to generate a permit pass and QR code generation for mobile phones and tablets. ,,,,,,,,,,,,,,,,,,
5.8.3,"Task 3. Create a system to generate labels for sample bags, jars and individual samples.",,,,,,,,,,,,,,,,,,
5.8.4,Task 4. Create a system for HTML embed codes (for sequence data/publications etc.).,,,,,,,,,,,,,,,,,,
5.8.5,"Task 5. Establish uniform persistent identifiers (BS20151234) for use in conjunction with publications, patents, products and electronic data. ",,,,,,,,,,,,,,,,,,
5.8.6,Task 6. Investigate the use of either persistent identifiers(BS20151234) and QR/Barcodes/html tags to build redundancy into the system (e.g. triple redundancy principle),,,,,,,,,,,,,,,,,,
5.8.7,Task 7. Test mobile readers with authorities for â€œpermit passesâ€ù and adjust based on feedback received.,,,,,,,,,,,,,,,,,,
5.9,Element 5.1.5 Reporting,,,,,,,,,,,,,,,,,,
5.9.1,Task 1. Establish reporting section of the applicant site.,,,,,,,,,,,,,,,,,,
5.9.2,Task 2. Decide on mandatory and voluntary reporting options. [Legal component],,,,,,,,,,,,,,,,,,
5.9.3,"Task 3. Define required uses of unique identifiers (BS20151234, QR codes, barcode, html embed codes). [Legal component]",,,,,,,,,,,,,,,,,,
5.9.4,"Task 4. Establish data fields for reporting, including, inter alia: ",,,,,,,,,,,,,,,,,,
5.9.4.1,a) uploads of publications (pre-print or published),,,,,,,,,,,,,,,,,,
5.9.4.2,b) doi (document identifier links to publications for automated retrieval),,,,,,,,,,,,,,,,,,
5.9.4.3,c) links to home pages and academic social media sites such as researchgate.com or academia.edu etc. ,,,,,,,,,,,,,,,,,,
5.9.4.4,d) accession numbers for sequence data or deposits of genetic material,,,,,,,,,,,,,,,,,,
5.9.4.5,e) locations where collected samples are stored,,,,,,,,,,,,,,,,,,
5.9.4.6,f) transfers of materials to third parties and the terms and conditions of transfer,,,,,,,,,,,,,,,,,,
5.9.4.7,g) patent applications and grants,,,,,,,,,,,,,,,,,,
5.9.4.8,h) products for which market approval is sought or approved,,,,,,,,,,,,,,,,,,
5.9.4.9,i) other information on activities arising from the permit,,,,,,,,,,,,,,,,,,
5.9.5,Task 5. Test system with applicants,,,,,,,,,,,,,,,,,,
5.9.6,Task 6. Adjust system based on user feedback. [Legal component],,,,,,,,,,,,,,,,,,
5.1,Element 4.1.6 Appeals:,,,,,,,,,,,,,,,,,,
5.10.1,Task 1. Identify grounds for appeal. [Legal component],,,,,,,,,,,,,,,,,,
5.10.2,Task 2. Define roadmap and timeline for appeals process. [Legal component],,,,,,,,,,,,,,,,,,
5.10.3,Task 3. Define form of documents for appeals. [Legal component],,,,,,,,,,,,,,,,,,
5.10.4,Task 4. Identify person(s) responsible and provide contact details. [Legal component],,,,,,,,,,,,,,,,,,
5.10.5,Task 5. Identify criteria for accepting or rejecting an appeal. [Legal component],,,,,,,,,,,,,,,,,,
5.10.6,Task 6. Identify form of notification to applicant within system for unambiguous final acceptance or final rejection. [Legal component],,,,,,,,,,,,,,,,,,
6,Element 6: Authorities Portal,,,,,,,,,,,,,,,,,,
6.1,Element 5.1 Enquiries [Legal component],,,,,,,,,,,,,,,,,,
6.1.1,Task 1. Establish standard responses to enquiries as inputs into the online permit system.,,,,,,,,,,,,,,,,,,
6.2,Element 5.2 Review {Legal component],,,,,,,,,,,,,,,,,,
6.2.1,Task 1. Develop Guide for Applicants,,,,,,,,,,,,,,,,,,
6.2.2,Task 2. Develop Applicants Checklist,,,,,,,,,,,,,,,,,,
6.2.3,Task 3. Develop checklist for completeness by authorities (authority side should match to applicant side),,,,,,,,,,,,,,,,,,
6.2.4,Task 4. Include visual validation of unique identifier in checklist,,,,,,,,,,,,,,,,,,
6.2.5,Task 5. Develop standard notifications to applicants on receipt and completeness. ,,,,,,,,,,,,,,,,,,
6.2.6,Task 6. Develop individual authority checklist (or lists as appropriate to authority),,,,,,,,,,,,,,,,,,
6.2.7,Task 7. Establish criteria for validating if non-commercial or commercial research (or both),,,,,,,,,,,,,,,,,,
6.2.8,"Task 8. Define next steps for non-commercial research (e.g. compliance with environmental legislation, local partners, deposit of samples etc.), taking note of Article 8(a) of the Nagoya Protocol.",,,,,,,,,,,,,,,,,,
6.3,Element 5.3 Negotiation [Legal component],,,,,,,,,,,,,,,,,,
6.3.1,Task 1. Define next steps for commercial research,,,,,,,,,,,,,,,,,,
6.3.2,"	a) Establish criteria for negotiations.",,,,,,,,,,,,,,,,,,
6.3.3,"	b) Identify standard list of participants in negotiations. ",,,,,,,,,,,,,,,,,,
6.3.4,"	c) Establish time frame for negotiations. ",,,,,,,,,,,,,,,,,,
6.3.5,"	d) Establish environmental legislation and procedure criteria.",,,,,,,,,,,,,,,,,,
6.3.6,"	e) Establish criteria for benefit-sharing. ",,,,,,,,,,,,,,,,,,
6.3.7,"	f) Establish criteria on Intellectual Property Rights. ",,,,,,,,,,,,,,,,,,
6.3.8,"	g) Establish criteria for acceptance or rejection of commercial applications. ",,,,,,,,,,,,,,,,,,
6.4,Element 5.4. Approve/Reject [Legal component],,,,,,,,,,,,,,,,,,
6.4.1,Task 1. Define standard terms and conditions (menu of clauses) for use in generating permits. ,,,,,,,,,,,,,,,,,,
6.4.2,Task 2. Define areas where specific terms and conditions are likely to be needed (menu of clauses). ,,,,,,,,,,,,,,,,,,
6.4.3,Task 3. Define any supplementary (ABS or Impact) agreements to the permit. ,,,,,,,,,,,,,,,,,,
6.4.4,Task 4. Establish harmonised document identifier system (e.g. BS20151234) to ensure links between the permit and supplementary agreements are maintained across time and space. ,,,,,,,,,,,,,,,,,,
6.4.5,"Task 5. System to generate .pdf permits, QR codes, barcodes, HTML embed codes and labels (see applicant side).",,,,,,,,,,,,,,,,,,
6.5,Element 5.5. Appeals [Legal component],,,,,,,,,,,,,,,,,,
6.5.1,Task 1. Establish a clear and transparent appeals process.,,,,,,,,,,,,,,,,,,
6.5.2,Task 2. Develop guidance on the appeals process for authorities and applicants.,,,,,,,,,,,,,,,,,,
6.5.3,Task 3. Develop a timeline for appeals. ,,,,,,,,,,,,,,,,,,
6.5.4,Task 4. Generate standard notifications for appeals to be sent to applicants on the stage in the procedure. ,,,,,,,,,,,,,,,,,,
6.5.5,Task 5. Define the form of a clear final decision. ,,,,,,,,,,,,,,,,,,
7,Element 7: Legal,,,,,,,,,,,,,,,,,,
7.1,Task 1. Identify areas of the online permit and monitoring system requiring legal input.,,,,,,,,,,,,,,,,,,
7.2,Task 2. Engage in legal drafting for relevant elements of the permit and monitoring system.,,,,,,,,,,,,,,,,,,
7.3,Task 3. Collaborate with technical staff in incorporating legal elements into the system.  ,,,,,,,,,,,,,,,,,,
7.4,Task 3. Identify future requirements for legal review.,,,,,,,,,,,,,,,,,,
8,Element 8: Monitoring,,,,,,,,,,,,,,,,,,
8.1,"Task 1. Develop search queries key data fields from research permit data for searches of scientific literature, patent literature, product information and general web searches. ",,,,,,,,,,,,,,,,,,
8.2,"Task 2. Identify programmatic open source tools to automate search and retrieval of data from relevant sources (scientific literature, patents, product information and general web searches.",,,,,,,,,,,,,,,,,,
